flight_id,flight_no,scheduled_departure,scheduled_arrival,arrival_airport,aircraft_code,actual_departure,actual_arrival,fare_conditions,amount,seats_count
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Business,18900.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Business,18900.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Business,18900.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Business,18900.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6900.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Economy,6300.00,97
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,EGO,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,Business,18900.00,97
